system_prompt,sample_question,sample_answer
You are helpful assistant that knows a lot of differenet facts about the world,who make airbus,"Airbus employs around 63,000 people at sixteen sites in four European Union countries: France, Germany, the United Kingdom and Spain."
You are helpful assistant that knows a lot of differenet facts about the world,what religion is church of christ,Christian Connexion
You are helpful assistant that knows a lot of differenet facts about the world,where was hillary clinton born,Her years as First Lady drew a polarized response from the American public.
You are helpful assistant that knows a lot of differenet facts about the world,what year was christianity introduced to sub-saharan africa,"The World Book Encyclopedia has estimated that in 2002 Christians formed 40% of the continent's population, with Muslims forming 45%."
You are helpful assistant that knows a lot of differenet facts about the world,what is ARM chipset,ARM periodically releases updates to its core — currently ARMv7 and ARMv8 — which chip manufacturers can then license and use for their own devices.
You are helpful assistant that knows a lot of differenet facts about the world,what is rate of U.S tariff,"The Republicans , however, made high tariffs the centerpiece of their economic policy beginning in 1861, and as late as 1930."
You are helpful assistant that knows a lot of differenet facts about the world,how is the house of representatives close to the people?,The total number of voting representatives is fixed by law at 435.
You are helpful assistant that knows a lot of differenet facts about the world,what species is a spider,"Spider webs vary widely in size, shape and the amount of sticky thread used."
You are helpful assistant that knows a lot of differenet facts about the world,what to see in malaysia,"The economy has traditionally been fuelled by its natural resources, but is expanding in the sectors of science, tourism, commerce and medical tourism ."
You are helpful assistant that knows a lot of differenet facts about the world,how deadly are brain tumors,"Brain tumors or intracranial neoplasms can be cancerous (malignant) or non-cancerous ( benign ); however, the definitions of malignant or benign neoplasms differs from those commonly used in other types of cancerous or non-cancerous neoplasms in the body."
You are helpful assistant that knows a lot of differenet facts about the world,what causes heart disease,"Cardiovascular disease refers to any disease that affects the cardiovascular system , principally cardiac disease, vascular diseases of the brain and kidney , and peripheral arterial disease."
You are helpful assistant that knows a lot of differenet facts about the world,"what is the background song on eminem's song ""stan""","In April 2011, Complex magazine put together a list of the 100 Greatest Eminem songs, ranking ""Stan"" at #2."
You are helpful assistant that knows a lot of differenet facts about the world,who played on Cory in the house tv show,This is also the only Disney Channel spin-off series to be broadcast in standard definition for the entire length of the show.
You are helpful assistant that knows a lot of differenet facts about the world,who sang I want to dance with somebody,"The original arrangement was more of a country tune, but was transformed by Walden to make it a dance song."
You are helpful assistant that knows a lot of differenet facts about the world,what is a depolarizing and nondepolarizing agent,It is necessary to prevent spontaneous movement of muscle during surgical operations .
You are helpful assistant that knows a lot of differenet facts about the world,where are snakehead fish illegal,"The two extant genera are Channa in Asia and Parachanna in Africa, consisting of about 35 species."
You are helpful assistant that knows a lot of differenet facts about the world,how does a triplexer work?,None of the low band signal is transferred from the S port to the H port.
You are helpful assistant that knows a lot of differenet facts about the world,what is the fundamental theorem of calculus used for,"The second part, sometimes called the second fundamental theorem of calculus, allows one to compute the definite integral of a function by using any one of its infinitely many antiderivatives ."
You are helpful assistant that knows a lot of differenet facts about the world,when did spongebob first air,"Kind of like a Munchkin but not quite, kind of like a kid, but not in a Charlie Brown child’s voice on the TV shows."""
You are helpful assistant that knows a lot of differenet facts about the world,when do you use union symbol,Union of three sets:
You are helpful assistant that knows a lot of differenet facts about the world,where is La Palma africa,"In 1815, the German geologist Leopold von Buch visited the Canary Islands."
You are helpful assistant that knows a lot of differenet facts about the world,what makes a four star hotel,"For example, one to five stars is commonly employed to categorize hotels ."
You are helpful assistant that knows a lot of differenet facts about the world,what are the root chords for first position?,Root position triads from C major scale .
You are helpful assistant that knows a lot of differenet facts about the world,how tall is an indoor girls volleyball net,foot fault: the foot crosses over the boundary line when serving.
You are helpful assistant that knows a lot of differenet facts about the world,what happened to george o'malley on grey's anatomy?,"Introduced as a surgical intern at the fictional Seattle Grace Hospital, O'Malley worked his way up to resident level, while his relationships with his colleagues Meredith Grey ( Ellen Pompeo ), Cristina Yang ( Sandra Oh ), Izzie Stevens ( Katherine Heigl ) and Alex Karev ( Justin Chambers ) formed a focal point of the series."
You are helpful assistant that knows a lot of differenet facts about the world,what creates a cloud,Synoptic surface weather observations use code numbers to record and report the types of tropospheric cloud visible at each scheduled observation time based on the height and physical appearance of the clouds.
You are helpful assistant that knows a lot of differenet facts about the world,what is the size of the largest cannon ball,"In the Middle East, the first use of the hand cannon is argued to be during the 1260 Battle of Ain Jalut between the Mamluks and Mongols ."
You are helpful assistant that knows a lot of differenet facts about the world,when does the royal standard fly?,The Royal Standard is flown at royal residences only when the sovereign is present.
You are helpful assistant that knows a lot of differenet facts about the world,how big is a land section generally,Perfectly square full sections of farmland cover Central Indiana .
You are helpful assistant that knows a lot of differenet facts about the world,what year was President kennedy president?,The FBI and the Warren Commission officially concluded that Oswald was the lone assassin.
You are helpful assistant that knows a lot of differenet facts about the world,what was the majority rule in the case Bowers v. Hardwick,"Justice Lewis F. Powell later said he regretted joining the majority, but thought the case of little importance at the time."
You are helpful assistant that knows a lot of differenet facts about the world,who was the first nhl team to win the stanley cup,"It was donated by the Governor General of Canada Lord Stanley of Preston in 1892, and is the oldest professional sports trophy in North America."
You are helpful assistant that knows a lot of differenet facts about the world,where does a price floor and price ceiling go on a graph,"However, a price ceiling can cause problems if imposed for a long period without controlled rationing."
You are helpful assistant that knows a lot of differenet facts about the world,when was How the west was won filmed?,The film is narrated by Spencer Tracy .
You are helpful assistant that knows a lot of differenet facts about the world,who has the best master cleanse,"Cleanse is a modified juice fast that permits no food, substituting tea and lemonade made with maple syrup and cayenne pepper ."
You are helpful assistant that knows a lot of differenet facts about the world,who did joan baez marry,"In recent years, she has found success interpreting songs of modern songwriters such as Ryan Adams , Josh Ritter , Steve Earle and Natalie Merchant ."
You are helpful assistant that knows a lot of differenet facts about the world,where was the first real roller coaster,"The track does not necessarily have to be a complete circuit, as shuttle roller coasters demonstrate."
You are helpful assistant that knows a lot of differenet facts about the world,who played tracy's dad in hairspray,"Hairspray went on to become the fourth highest grossing musical film in US cinema history, behind the film adaptations of Grease , Chicago , and Mamma Mia!."
You are helpful assistant that knows a lot of differenet facts about the world,what does uncle sam represent to the american people,"Flagg used a modified version of his own face for Uncle Sam, and veteran Walter Botts provided the pose."
You are helpful assistant that knows a lot of differenet facts about the world,What is a 28 day cycle?,Hormonal contraception interferes with the normal hormonal changes with the aim of preventing reproduction.
You are helpful assistant that knows a lot of differenet facts about the world,where is the brisket from,The brisket muscles include the superficial and deep pectorals.
You are helpful assistant that knows a lot of differenet facts about the world,what is north korea size,The country has a national medical service and claims to offer free healthcare.
You are helpful assistant that knows a lot of differenet facts about the world,WHEN WERE SOUTHERN STATES READMITTED TO US,Missouri and Kentucky were represented by partisan factions from those states.
You are helpful assistant that knows a lot of differenet facts about the world,how fast does the polar jets,The Northern Hemisphere and the Southern Hemisphere each have both a polar jet and a subtropical jet.
You are helpful assistant that knows a lot of differenet facts about the world,"When Adolf Hitler seized power in Germany prior to World War II, what title did he bestow on himself?","In the final days of the war, during the Battle of Berlin in 1945, Hitler married his long-time partner, Eva Braun ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the second season of tsubasa called?,"The series features much crossover with the its sister series xxxHolic , another manga by Clamp."
You are helpful assistant that knows a lot of differenet facts about the world,How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year."
You are helpful assistant that knows a lot of differenet facts about the world,Who is the transformers in transformers 3,"First released on June 23, 2011, it is the third installment of the live-action Transformers film series ."
You are helpful assistant that knows a lot of differenet facts about the world,what the romans did for england wikipedia,It shares land borders with Scotland to the north and Wales to the west.
You are helpful assistant that knows a lot of differenet facts about the world,how many employees does Chase have,"It is a major provider of financial services , with assets of $2.509 trillion and according to Forbes magazine is the world's second largest public company based on a composite ranking."
You are helpful assistant that knows a lot of differenet facts about the world,what was fdr's new deal,"Many New Deal programs remain active, with some still operating under the original names, including the Federal Deposit Insurance Corporation (FDIC), the Federal Crop Insurance Corporation (FCIC), the Federal Housing Administration (FHA), and the Tennessee Valley Authority (TVA)."
You are helpful assistant that knows a lot of differenet facts about the world,where to write to mother angelica,She is a recipient of the Pro Ecclesia et Pontifice Award granted by Pope Benedict XVI and lives in the cloistered monastery in Hanceville.
You are helpful assistant that knows a lot of differenet facts about the world,Who is the home team in Super Bowl XLV,"The Super Bowl is also among the most watched sporting events in the world , almost all being North American audiences, and is second to association football ’s UEFA Champions League final as the most watched annual sporting event worldwide."
You are helpful assistant that knows a lot of differenet facts about the world,what is the purpose of child support?,"In family law and public policy, child support (or child maintenance) is an ongoing, periodic payment made by a parent for the financial benefit of a child following the end of a marriage or other relationship."
You are helpful assistant that knows a lot of differenet facts about the world,what is spongebob's real address,"The series' popularity has prompted the release of a media franchise , contributing to its position as Nickelodeon 's highest rated show, the most distributed property of MTV Networks , and among Nicktoons' most watched shows."
You are helpful assistant that knows a lot of differenet facts about the world,what does pride and prejudice end with?,"Elizabeth is the second of five daughters of a country gentleman living near the fictional town of Meryton in Hertfordshire , near London ."
You are helpful assistant that knows a lot of differenet facts about the world,who designed the statue of liberty,"While the statue was closed from 1984 to 1986, the torch and a large part of the internal structure were replaced."
You are helpful assistant that knows a lot of differenet facts about the world,Who was Daniel J Daly?,"Maj. Gen. Smedley Butler described Daly as, ""The fightin'est Marine I ever knew!"""
You are helpful assistant that knows a lot of differenet facts about the world,who did cy young play for,"Denton True ""Cy"" Young (March 29, 1867 – November 4, 1955) was an American Major League Baseball pitcher ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the input and what is the output of a function,"A function f takes an input x, and returns an output f(x)."
You are helpful assistant that knows a lot of differenet facts about the world,what is a blu-ray dvd combo disc,Triple layer discs (100 GB) and quadruple layers (150 GB) are available for BD-XL re-writer drives.
You are helpful assistant that knows a lot of differenet facts about the world,what is the input and what is the output of a function,"Others are given by a picture, called the graph of the function ."
You are helpful assistant that knows a lot of differenet facts about the world,what is a depolarizing and nondepolarizing agent,Some of them are found in nature and others are synthesized molecules.
You are helpful assistant that knows a lot of differenet facts about the world,How much did Waterboy grossed,"Like Bobby, Canteen Boy preferred ""purified water, right out of the old canteen"", which he always carried with him."
You are helpful assistant that knows a lot of differenet facts about the world,what are the root chords for first position?,"Root position, first inversion, and second inversion C major chords , , or ."
You are helpful assistant that knows a lot of differenet facts about the world,what does a fawn eat?,"The musk deer of Asia and water chevrotain (or mouse deer) of tropical African and Asian forests are not usually regarded as true deer and form their own families, Moschidae and Tragulidae , respectively."
You are helpful assistant that knows a lot of differenet facts about the world,what year was smokey the bear invented,"In 1952, the songwriters Steve Nelson and Jack Rollins had a successful song named ""Smokey the Bear""."
You are helpful assistant that knows a lot of differenet facts about the world,what year was christianity introduced to sub-saharan africa,"Today in 2013, Traditional African religions is the majority religion only in Togo ."
You are helpful assistant that knows a lot of differenet facts about the world,how is seville,It is situated on the plain of the River Guadalquivir .
You are helpful assistant that knows a lot of differenet facts about the world,how did crater lake get its color,"While having no indigenous fish population, the lake was stocked from 1888 to 1941 with a variety of fish."
You are helpful assistant that knows a lot of differenet facts about the world,who sang momma told me not to come,Three Dog Night 's 1970 cover of the song topped the U.S. pop singles charts.
You are helpful assistant that knows a lot of differenet facts about the world,what division is tsu football,"The University was established in 1927 as the Houston Colored Junior College, through its private college phase as Houston Colored College."
You are helpful assistant that knows a lot of differenet facts about the world,how much population is a us urban city,Counties tend to be stable political boundaries; economists prefer to work with economic and social statistics based on metropolitan areas.
You are helpful assistant that knows a lot of differenet facts about the world,what does a liquid oxygen plant look like,"Liquid oxygen — abbreviated LOx, LOX or Lox in the aerospace , submarine and gas industries — is one of the physical forms of elemental oxygen ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the what by dave eggers,His works have received a significant amount of critical acclaim.
You are helpful assistant that knows a lot of differenet facts about the world,what is the actresses name that played in walk that line?,"Walk the Line previewed at the Telluride Film Festival on September 4, 2005, and went into wide release on November 18."
You are helpful assistant that knows a lot of differenet facts about the world,what is the life span of June bugs,"""Junebug"", by The B-52s"
You are helpful assistant that knows a lot of differenet facts about the world,how old was sue lyon when she made lolita,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming."
You are helpful assistant that knows a lot of differenet facts about the world,who signed NAFTA for the US,"The agreement came into force on January 1, 1994."
You are helpful assistant that knows a lot of differenet facts about the world,what day is 2011 super bowl?,"The Steelers finished the regular season with a 12–4 record, and advanced to a league-tying 8th Super Bowl appearance."
You are helpful assistant that knows a lot of differenet facts about the world,who is charlie in 90210,Season 3 cast image featuring the young cast who have been with the series the longest.
You are helpful assistant that knows a lot of differenet facts about the world,what state was john mccain a senator in during the 2008 election,This was also the first election since 1952 in which neither of the major parties' nominees was the incumbent President or Vice President.
You are helpful assistant that knows a lot of differenet facts about the world,how many universities are in the united states,"Post-secondary education , better known as "" college "" in the United States, is generally governed separately from the elementary and high school system, and is described in a separate section below."
You are helpful assistant that knows a lot of differenet facts about the world,how many universities are in the united states,The ages for compulsory education vary by state.
You are helpful assistant that knows a lot of differenet facts about the world,how did harmon killebrew get strong,"He became one of the AL's most feared power hitters of the 1960s, hitting 40 home runs in a season eight times."
You are helpful assistant that knows a lot of differenet facts about the world,what is our normal rate of tear production?,Lacrimation or lachrymation () is the production or shedding of tears.
You are helpful assistant that knows a lot of differenet facts about the world,what is the actresses name that played in walk that line?,"The film was nominated for five Academy Awards including Best Actor (Joaquin Phoenix), Best Actress (Reese Witherspoon, which she won), and Best Costume Design ( Arianne Phillips )."
You are helpful assistant that knows a lot of differenet facts about the world,Who Were the Anti Federalist,"Still others believed that while the national government under the Articles was too weak, the national government under the Constitution would be too strong."
You are helpful assistant that knows a lot of differenet facts about the world,what part of florida is ray charles from,"His playing reflected influences from country blues , barrelhouse and stride piano styles."
You are helpful assistant that knows a lot of differenet facts about the world,when was the model t made,"On May 26, 1927, Henry Ford watched the 15 millionth Model T Ford roll off the assembly line at his factory in Highland Park, Michigan ."
You are helpful assistant that knows a lot of differenet facts about the world,what is stent surgery,The term may also refer to a tube used to temporarily hold such a natural conduit open to allow access for surgery.
You are helpful assistant that knows a lot of differenet facts about the world,what was the occupation of agatha christie's second husband,"And Then There Were None is Christie's best-selling novel with 100 million sales to date, making it the world's best-selling mystery ever, and one of the best-selling books of all time."
You are helpful assistant that knows a lot of differenet facts about the world,what makes of the united states,The Spanish–American War and confirmed the country's status as a global military power.
You are helpful assistant that knows a lot of differenet facts about the world,what year did fiji become a island,The country's currency is the Fijian dollar .
You are helpful assistant that knows a lot of differenet facts about the world,where was hillary clinton born,"As First Lady of Arkansas from 1979 to 1981 and 1983 to 1992 with husband Bill as governor, she successfully led a task force to reform Arkansas's education system."
You are helpful assistant that knows a lot of differenet facts about the world,how do you become listed in who's who in the world,"Marquis Who's Who books are often found in the reference section of local libraries, at corporate libraries, and are also used for research by universities."
You are helpful assistant that knows a lot of differenet facts about the world,what year did isaac newton die,"His book Philosophiæ Naturalis Principia Mathematica (""Mathematical Principles of Natural Philosophy""), first published in 1687, laid the foundations for most of classical mechanics ."
You are helpful assistant that knows a lot of differenet facts about the world,who are the field dimension for lacrosse,Field lacrosse is played professionally in North America by the Major League Lacrosse .
You are helpful assistant that knows a lot of differenet facts about the world,who plays the town sheriff on true blood,"It is produced by HBO in association with Ball's production company, Your Face Goes Here Entertainment."
You are helpful assistant that knows a lot of differenet facts about the world,what type of ice forms mars polar caps,"The term incorporates aspects of geophysics , geochemistry , mineralogy , geodesy , and cartography ."
You are helpful assistant that knows a lot of differenet facts about the world,where did jefferson davis die,"However, many Southerners empathized with his defiance, refusal to accept defeat, and resistance to Reconstruction ."
You are helpful assistant that knows a lot of differenet facts about the world,what is the second season of tsubasa called?,"The first season of the anime series aired on NHK between April 9, 2005 and October 15, 2005 spanning twenty-six episode."
You are helpful assistant that knows a lot of differenet facts about the world,where were the biggest base camps from world war two located,"At the peak of the construction, 30 buildings were completed every day."
You are helpful assistant that knows a lot of differenet facts about the world,when did marlins start,"Beginning with the 2012 Major League Baseball season , they play at Marlins Park in downtown Miami, on the site of the former Orange Bowl ."
You are helpful assistant that knows a lot of differenet facts about the world,how tall is an indoor girls volleyball net,"The team that wins the rally is awarded a point, and serves the ball to start the next rally."
You are helpful assistant that knows a lot of differenet facts about the world,what does google don't be evil mean?,"Buchheit, the creator of Gmail , said he ""wanted something that, once you put it in there, would be hard to take out"", adding that the slogan was ""also a bit of a jab at a lot of the other companies, especially our competitors, who at the time, in our opinion, were kind of exploiting the users to some extent."""
You are helpful assistant that knows a lot of differenet facts about the world,what south american country is a colony,"South America has an area of 17,840,000 square kilometers (6,890,000 sq mi)."
You are helpful assistant that knows a lot of differenet facts about the world,how many people died in the gallipoli battle,"In Turkey, the battle is perceived as a defining moment in the history of the Turkish people—a final surge in the defence of the motherland as the ageing Ottoman Empire was crumbling."
You are helpful assistant that knows a lot of differenet facts about the world,where were the biggest base camps from world war two located,"In 1940, the U.S. Army leased Camp Edwards as a training facility as part of its mobilization strategy for World War II."
You are helpful assistant that knows a lot of differenet facts about the world,what did Harry truman say after the republicans took the house.,"Working closely with Congress, Truman assisted in the founding of the United Nations , issued the Truman Doctrine to contain communism, and passed the $13 billion Marshall Plan to rebuild Europe, including the Axis Powers of both World Wars , whereas the wartime Ally Soviet Union became the peacetime enemy, and the Cold War began."
You are helpful assistant that knows a lot of differenet facts about the world,what do presidents make after they leave the white house,The president is frequently described as the most powerful person in the world.
You are helpful assistant that knows a lot of differenet facts about the world,where was john f kennedy born,"A Catholic , Kennedy is the only non- Protestant president, and is the only president to have won a Pulitzer Prize ."
You are helpful assistant that knows a lot of differenet facts about the world,What was Frederick Douglass's wife's name,"After escaping from slavery , he became a leader of the abolitionist movement, gaining note for his dazzling oratory and incisive antislavery writing."
You are helpful assistant that knows a lot of differenet facts about the world,who are all of the jonas brothers,"The band has released four albums: It's About Time , Jonas Brothers , A Little Bit Longer , and Lines, Vines and Trying Times , with an upcoming fifth studio album due for release in 2013."
You are helpful assistant that knows a lot of differenet facts about the world,where does a price floor and price ceiling go on a graph,"Pricing, quantity, and welfare effects of a binding price ceiling"
You are helpful assistant that knows a lot of differenet facts about the world,what year was christianity introduced to sub-saharan africa,"In South Sudan , no official statistics currently exist and some scholarly studies state that native African religion is more popular than Christianity."
You are helpful assistant that knows a lot of differenet facts about the world,what religion is church of christ,"Church of Christ (Whitmerite) , an extinct Latter Day Saint denomination"
You are helpful assistant that knows a lot of differenet facts about the world,what is petit lemans,"The Petit Le Mans ( French for little Le Mans) is a sports car endurance race held annually at Road Atlanta in Braselton, Georgia , USA."
You are helpful assistant that knows a lot of differenet facts about the world,who first synthesized heroin,"It is the 3,6- diacetyl ester of morphine, and functions as a morphine prodrug , meaning that it is metabolically converted to morphine inside the body in order for it to work."
You are helpful assistant that knows a lot of differenet facts about the world,what is the main language in india,Two contact languages have played an important role in the history of India : Persian and English .
You are helpful assistant that knows a lot of differenet facts about the world,what is the poem evangeline by longfellow about?,It was published in 1847 and became Longfellow's most famous work in his lifetime.
You are helpful assistant that knows a lot of differenet facts about the world,what is the color puce,The colors in the boxes at right are two of the various shades and varieties of puce.
You are helpful assistant that knows a lot of differenet facts about the world,what type of neuron is the majority in the body,"A chemical signal occurs via a synapse , a specialized connection with other cells."
You are helpful assistant that knows a lot of differenet facts about the world,what episode on weeds do they find peter's body,"Season two, which comprises 12 episodes, began airing on August 14, 2006 and finished its run on October 30, 2006."
You are helpful assistant that knows a lot of differenet facts about the world,who makes adderall,"When abused at high doses, the risk of experiencing side effects and the severity of side effects increases."
You are helpful assistant that knows a lot of differenet facts about the world,what day is st. patricks day,"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March."
You are helpful assistant that knows a lot of differenet facts about the world,"what did ruben conclude photosynthesis ""Ruben""","Their results, confused by absorption of the products on proteinaceous residues, initially failed to reveal the path of carbon in photosynthesis but succeeded in exciting the interest of scientists worldwide in the search and revelation of metabolic processes, beginning a revolution in biochemistry and medicine."
You are helpful assistant that knows a lot of differenet facts about the world,what football conference is temple in,The owl has been the symbol and mascot for Temple University since its founding in the 1880s.
You are helpful assistant that knows a lot of differenet facts about the world,how much did yankee stadium cost,"Also controversial was the price tag of $1.5 billion, which makes it not only the most expensive baseball stadium ever built, but the second-most expensive stadium of any kind (after MetLife Stadium in East Rutherford, New Jersey )."
You are helpful assistant that knows a lot of differenet facts about the world,how old is alicia in 2009,"Her third studio album, As I Am , was released in the same year and sold five million copies worldwide, earning Keys an additional three Grammy Awards."
You are helpful assistant that knows a lot of differenet facts about the world,what south american country is a colony,Given a history of colonialism most South Americans speak Spanish or Portuguese and societies and states are commonly modeled after Western traditions .
You are helpful assistant that knows a lot of differenet facts about the world,how many square miles in great britain,"Politically, Great Britain also refers to the island itself together with a number of surrounding islands, which constitute the territory of England , Scotland and Wales ."
You are helpful assistant that knows a lot of differenet facts about the world,who was morticia adams husband?,"As named by Charles Addams, the Addams Family characters include Gomez , Morticia , Uncle Fester , Lurch , Grandmama , Wednesday , Pugsley , Pubert Addams and Thing ."
You are helpful assistant that knows a lot of differenet facts about the world,who wrote a rose is a rose is a rose,For later periods in literature this would no longer be true.
You are helpful assistant that knows a lot of differenet facts about the world,what is the us system of measurement,"Many U.S. units are virtually identical to their imperial counterparts , but the U.S. customary system developed from English units used in the British Empire before the system of imperial units was standardized in 1824."
You are helpful assistant that knows a lot of differenet facts about the world,what county is jacksonville florida in,"A platted town was established there in 1822, a year after the United States gained Florida from Spain ; it was named after Andrew Jackson , the first military governor of the Florida Territory and seventh President of the United States ."
You are helpful assistant that knows a lot of differenet facts about the world,what is disney town,"Subsequent to founding Celebration, Disney followed its plans to divest most of its control of the town."
You are helpful assistant that knows a lot of differenet facts about the world,who designed the statue of liberty,"Fundraising proved difficult, especially for the Americans, and by 1885 work on the pedestal was threatened due to lack of funds."
You are helpful assistant that knows a lot of differenet facts about the world,who was the rule of the aztec when cortes arrived in mexico,"The collapse of the Aztec Empire was a major milestone in the formation of New Spain, which would not be formalized by the Spanish Crown until 1535 A.D."
You are helpful assistant that knows a lot of differenet facts about the world,when was the tacoma bridge collapse?,The bridges connects the city of Tacoma with the Kitsap Peninsula and carry State Route 16 (known as Primary State Highway 14 until 1964) over the strait.
You are helpful assistant that knows a lot of differenet facts about the world,what is sado masochism,Sadomasochism is the giving and/or receiving of pleasure—often sexual—from acts involving the infliction or reception of pain or humiliation .
You are helpful assistant that knows a lot of differenet facts about the world,where to write to mother angelica,"In 1944, she entered the Poor Clares of Perpetual Adoration , a Franciscan religious order for women, as a postulant , and a year later she was admitted to the order as a novice ."
You are helpful assistant that knows a lot of differenet facts about the world,what did deputies in the old western times do?,right
You are helpful assistant that knows a lot of differenet facts about the world,who makes adderall,"The immediate release formulation is indicated for use in ADHD and narcolepsy, while the XR formulation is approved for use only with attention deficit hyperactivity disorder (ADHD)."
You are helpful assistant that knows a lot of differenet facts about the world,what is going to be done with the orbiters?,"Operational missions launched numerous satellites, interplanetary probes, and the Hubble Space Telescope (HST); conducted science experiments in orbit; and participated in construction and servicing of the International Space Station ."
You are helpful assistant that knows a lot of differenet facts about the world,What are the lateral and median apertures of the brain?,The lateral aperture is a paired structure in human anatomy.
You are helpful assistant that knows a lot of differenet facts about the world,what is beer called without hops,"Today, the brewing industry is a global business, consisting of several dominant multinational companies and many thousands of smaller producers ranging from brewpubs to regional breweries ."
You are helpful assistant that knows a lot of differenet facts about the world,what is a google in math,"Other names for googol include ten duotrigintillion on the short scale , ten thousand sexdecillion on the long scale , or ten sexdecilliard on the Peletier long scale ."
You are helpful assistant that knows a lot of differenet facts about the world,how many seasons were there of the wire,"Whether one is a cop, a longshoreman , a drug dealer, a politician, a judge or a lawyer, all are ultimately compromised and must contend with whatever institution they are committed to."""
You are helpful assistant that knows a lot of differenet facts about the world,what is vienna sausage made of,"European vienna sausage served hot in a long bun with condiments is often called a ""hot dog"", harking not to the wiener itself, but to the long sandwich as a whole."
You are helpful assistant that knows a lot of differenet facts about the world,who is Dr. JB Danquah,"During his political career, he was one of the primary opposition leaders to Ghanaian president and independence leader Kwame Nkrumah ."
You are helpful assistant that knows a lot of differenet facts about the world,what are points on a mortgage,"Loan qualification based on monthly income versus the monthly loan payment may sometimes only be achievable by reducing the monthly payment through the purchasing of points to buy down the interest rate, thereby reducing the monthly loan payment."
You are helpful assistant that knows a lot of differenet facts about the world,what is the song going under by evanescence about?,"""Going Under"" is a song by American rock band Evanescence ."
You are helpful assistant that knows a lot of differenet facts about the world,what was the role of rio grande valley in the mexican american war and american civil war,"Lincoln won, but before his inauguration on March 4, 1861, seven cotton-based slave states formed the Confederacy."
You are helpful assistant that knows a lot of differenet facts about the world,what are ten words that came from greek or latin root,"The following is an alphabetical list of Greek and Latin roots , stems , and prefixes commonly used in English."
You are helpful assistant that knows a lot of differenet facts about the world,how many spanish speaking countries,Around 360 million live in Hispanic America and 46 million in Spain .
You are helpful assistant that knows a lot of differenet facts about the world,what kind of checks (payment) are acceptable at schools?,Cheques are a type of bill of exchange and were developed as a way to make payments without the need to carry large amounts of money.
You are helpful assistant that knows a lot of differenet facts about the world,what is a popular people meter,This system became obsolete when Direct to Home ( DTH ) satellite dish became popular and viewers started to get their own satellite decoders.
You are helpful assistant that knows a lot of differenet facts about the world,what is the comic where bane breaks batman's back,"The character's origin was in Batman: Vengeance of Bane #1 (January 1993), and was created by Chuck Dixon , Doug Moench , and Graham Nolan ."
You are helpful assistant that knows a lot of differenet facts about the world,who wrote a rose is a rose is a rose,"In Stein's view, the sentence expresses the fact that simply using the name of a thing already invokes the imagery and emotions associated with it, an idea also intensively discussed in the problem of universals debate where Peter Abelard and others used the rose as an example concept."
You are helpful assistant that knows a lot of differenet facts about the world,What album is our song on taylor swift,"Our Song (film) , a 2000 film about three high school girls"
You are helpful assistant that knows a lot of differenet facts about the world,what state was john mccain a senator in during the 2008 election,"It was held on Tuesday, November 4, 2008."
You are helpful assistant that knows a lot of differenet facts about the world,what are schedule II drugs?,This is a list of Schedule II drugs under the Controlled Substances Act for the United States .
You are helpful assistant that knows a lot of differenet facts about the world,what is vanilla flavor used for,"Three major cultivars of vanilla currently are grown globally, all of which derive from a species originally found in Mesoamerica, including parts of modern-day Mexico ."
You are helpful assistant that knows a lot of differenet facts about the world,what is a ace in paddleball,The original Black Beauty paddle remains in the possession of the Lecakes family.
You are helpful assistant that knows a lot of differenet facts about the world,where were dwarves in lord of the rings,The Lord of the Rings is an epic high fantasy novel written by English philologist and University of Oxford professor J. R. R. Tolkien .
You are helpful assistant that knows a lot of differenet facts about the world,What does a sex change entail to become a man,"Other terms for SRS include sex reconstruction surgery, gender confirmation surgery, and more clinical terms, such as feminizing genitoplasty or penectomy, orchidectomy and vaginoplasty are used medically for trans women, with masculinizing genitoplasty or phalloplasty often similarly used for trans men."
You are helpful assistant that knows a lot of differenet facts about the world,What does Human sperm consist of?,"Semen, also known as seminal fluid, is an organic fluid that may contain spermatozoa ."
You are helpful assistant that knows a lot of differenet facts about the world,what golf courses are included with tiger woods pga tour 11,This edition of Tiger Woods PGA Tour is the first to feature someone on the cover other than Tiger himself.
You are helpful assistant that knows a lot of differenet facts about the world,what type of material is used for high pressure water.,"The volume of a pressure washer is expressed in either gallons or litres per minute, often designed into the pump and not variable."
You are helpful assistant that knows a lot of differenet facts about the world,what type of business is walmart,"By 1988, Wal-Mart was the most profitable retailer in the US, and by November 1990, it outsold K-mart ."
You are helpful assistant that knows a lot of differenet facts about the world,how many players on a side for a football game,The team in possession of the ball (the offense) attempts to advance down the field by running with or passing the ball.
You are helpful assistant that knows a lot of differenet facts about the world,what is the minimum age requirement to work at fred meyers,"He is often confused with Frederik Gerhard Hendrik Meijer (December 7, 1919 – November 25, 2011) the Chairman of the Meijer superstore chain in Midwest, United States."
